x_width:35
y_width:35
x_player_start:34
y_player_start:34
walls
1,1
3,1
5,1
7,1
9,1
11,1
13,1
15,1
17,1
19,1
21,1
23,1
25,1
27,1
29,1
31,1
33,1
1,3
3,3
5,3
7,3
9,3
11,3
13,3
15,3
17,3
19,3
21,3
23,3
25,3
27,3
29,3
31,3
33,3
1,5
3,5
5,5
7,5
9,5
11,5
13,5
15,5
17,5
19,5
21,5
23,5
25,5
27,5
29,5
31,5
33,5
1,7
3,7
5,7
7,7
9,7
11,7
13,7
15,7
17,7
19,7
21,7
23,7
25,7
27,7
29,7
31,7
33,7
1,9
3,9
5,9
7,9
9,9
11,9
13,9
15,9
17,9
19,9
21,9
23,9
25,9
27,9
29,9
31,9
33,9
1,11
3,11
5,11
7,11
9,11
11,11
13,11
15,11
17,11
19,11
21,11
23,11
25,11
27,11
29,11
31,11
33,11
1,13
3,13
5,13
7,13
9,13
11,13
13,13
15,13
17,13
19,13
21,13
23,13
25,13
27,13
29,13
31,13
33,13
1,15
3,15
5,15
7,15
9,15
11,15
13,15
15,15
17,15
19,15
21,15
23,15
25,15
27,15
29,15
31,15
33,15
1,17
3,17
5,17
7,17
9,17
11,17
13,17
15,17
17,17
19,17
21,17
23,17
25,17
27,17
29,17
31,17
33,17
1,19
3,19
5,19
7,19
9,19
11,19
13,19
15,19
17,19
19,19
21,19
23,19
25,19
27,19
29,19
31,19
33,19
1,21
3,21
5,21
7,21
9,21
11,21
13,21
15,21
17,21
19,21
21,21
23,21
25,21
27,21
29,21
31,21
33,21
1,23
3,23
5,23
7,23
9,23
11,23
13,23
15,23
17,23
19,23
21,23
23,23
25,23
27,23
29,23
31,23
33,23
1,25
3,25
5,25
7,25
9,25
11,25
13,25
15,25
17,25
19,25
21,25
23,25
25,25
27,25
29,25
31,25
33,25
1,27
3,27
5,27
7,27
9,27
11,27
13,27
15,27
17,27
19,27
21,27
23,27
25,27
27,27
29,27
31,27
33,27
1,29
3,29
5,29
7,29
9,29
11,29
13,29
15,29
17,29
19,29
21,29
23,29
25,29
27,29
29,29
31,29
33,29
1,31
3,31
5,31
7,31
9,31
11,31
13,31
15,31
17,31
19,31
21,31
23,31
25,31
27,31
29,31
31,31
33,31
1,33
3,33
5,33
7,33
9,33
11,33
13,33
15,33
17,33
19,33
21,33
23,33
25,33
27,33
29,33
31,33
33,33
3,26
3,20
9,14
23,24
13,14
14,29
5,6
13,32
14,5
15,32
9,10
15,8
20,11
9,2
23,28
34,3
16,29
25,26
7,4
6,11
14,7
34,31
25,4
20,9
4,7
1,4
17,10
4,33
1,18
23,18
14,33
5,0
2,25
15,30
32,1
26,19
19,4
26,9
5,12
12,9
13,2
2,9
0,23
24,3
16,11
28,1
21,20
9,20
25,8
23,20
22,7
9,34
4,23
5,14
26,17
12,19
5,26
25,20
8,31
4,11
7,26
25,10
30,1
23,4
24,9
14,11
13,4
7,14
11,20
23,6
30,27
14,13
33,18
26,33
18,11
8,13
21,10
27,34
22,33
33,14
19,24
32,29
30,31
17,22
26,21
30,9
11,24
9,28
25,14
21,6
21,16
15,16
7,10
11,14
26,13
20,3
30,15
19,32
19,28
11,18
25,12
18,1
19,14
10,17
2,33
11,4
0,11
20,1
21,30
31,20
7,0
8,23
11,8
1,12
18,7
2,31
27,0
21,28
5,30
8,17
11,28
33,6
6,9
23,2
30,7
1,32
6,23
12,25
12,17
14,1
11,6
11,22
0,27
4,9
5,4
20,15
16,27
15,26
21,32
3,22
21,2
2,1
20,31
29,12
20,25
33,34
20,23
32,9
3,6
32,5
28,3
30,13
10,25
31,34
20,27
18,3
1,34
23,26
31,28
30,23
33,12
4,29
2,7
4,13
1,26
26,29
15,28
4,17
29,32
23,8
19,20
10,19
27,8
24,11
9,32
6,27
14,27
24,31
10,5
0,15
2,3
23,0
6,19
27,28
22,29
33,16
29,26
31,16
18,25
24,13
15,20
0,3
0,19
31,12
20,21
29,28
31,8
2,17
34,7
10,9
28,17
33,26
30,25
26,5
13,24
20,7
21,14
12,29
26,31
7,24
28,11
15,18
13,22
33,28
9,24
15,24
22,15
27,18
1,30
7,30
18,13
22,31
28,25
21,18
31,14
11,10
22,13
12,7
22,1
30,17
15,14
34,19
34,25
8,7
15,0
31,22
28,31
10,7
8,27
28,13
1,10
29,2
26,25
30,19
30,5
4,15
25,22
10,13
14,19
18,19
12,11
8,5
28,23
5,22
17,34
34,21
10,1
2,21
31,4
3,0
18,17
14,25
12,1
32,23
16,21
24,1
6,33
22,11
7,12
17,4
4,31
16,25
11,32
8,21
33,10
24,21
30,33
17,18
17,32
32,19
27,14
10,33
21,26
18,15
28,27
30,21
14,3
3,8
5,20
specials
0, 0, green, 1, False
