x_width:15
y_width:15
x_player_start:0
y_player_start:0
walls
1,1
3,1
5,1
7,1
9,1
11,1
13,1
1,3
5,3
7,3
9,3
11,3
13,3
1,5
3,5
5,5
7,5
9,5
11,5
13,5
1,7
3,7
5,7
7,7
9,7
11,7
13,7
1,9
3,9
5,9
7,9
9,9
11,9
13,9
1,11
3,11
5,11
7,11
9,11
11,11
13,11
1,13
3,13
5,13
7,13
9,13
11,13
13,13
13,10
8,7
11,2
12,11
5,2
0,1
8,9
9,14
8,13
8,5
13,14
0,3
13,6
1,6
4,7
2,9
10,11
4,5
6,13
3,0
11,8
12,13
3,4
7,0
7,6
9,0
6,5
2,7
5,6
4,9
2,13
4,11
3,10
6,11
7,10
7,4
1,10
14,5
12,7
13,4
11,4
13,2
3,8
11,6
9,2
14,11
3,12
1,14
specials
10, 13, green, 1, False
